user_id,username,genai_keywords,roadmap,skillsets,dailytasks
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day4: Solve Problems on LeetCode
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day5: Learn Backtracking
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day6: Review Graph Theory
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day7: Practice Problems on HackerRank
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day8: Learn Divide and Conquer
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day9: Review Bit Manipulation
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day10: Solve Problems on Project Euler
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day11: Learn about Two Pointers
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day12: Review Sliding Window
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day13: Practice Problems on Codewars
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day14: Review Trie Data Structure
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day15: Solve Problems on CodeForces
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,"Day1: Read about descriptive statistics and calculate mean, median, and mode from a dataset"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day2: Write a Python program to calculate variance and standard deviation of a dataset
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day3: Learn about data visualization using matplotlib and seaborn
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day4: Create a bar chart and histogram of a dataset using Python
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day5: Learn about probability theory and Bayes' theorem
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day6: Practice conditional probability problems
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day7: Learn about random variables and probability distributions
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day8: Apply probability concepts to real-world problems
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day9: Learn about statistical inference and hypothesis testing
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day10: Practice hypothesis testing using Python
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day11: Learn about types of regression and assumptions
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day12: Practice simple and multiple regression using Python
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day13: Learn about correlation analysis and coefficient of determination
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day14: Practice correlation analysis using Python
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day15: Learn about data preprocessing and feature scaling
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day17: Learn about dimensionality reduction using PCA
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day18: Apply PCA to a dataset using Python
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day19: Learn about clustering and types of clustering
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day20: Practice k-means clustering using Python
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day21: Learn about supervised and unsupervised learning
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day22: Learn about bias-variance tradeoff and overfitting
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day23: Practice regularization techniques using Python
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day24: Learn about model selection and hyperparameter tuning
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day25: Practice hyperparameter tuning using grid search and random search
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day26: Learn about ensemble learning and bagging
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day27: Practice ensemble learning using Python
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day29: Practice data storytelling and presenting insights
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Analytical Skills,Day30: Take online quizzes and practice analytical skills
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day1: Read articles on Forbes, Entrepreneur, and Inc. to understand current business news and trends"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day2: Watch TED Talks on business and entrepreneurship to develop a foundation
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day3: Learn financial literacy by understanding basic accounting concepts like Assets, Liabilities, and Equity"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day5: Read a chapter from a business book like Blue Ocean Strategy or The Lean Startup
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day6: Analyze a successful business model, like Airbnb or Uber"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day7: Write a short essay on how you would apply business principles to your current job or a new venture
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day8: Take an online course on Coursera or edX on business foundations or entrepreneurship
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day9: Read case studies on Harvard Business Review or Business Insider
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day10: Attend a webinar or online seminar on business growth strategies
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day11: Read a biography of a successful entrepreneur, like Steve Jobs or Elon Musk"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day12: Create a business idea and write a one-page business plan
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day13: Research market trends and competitors for your business idea
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day14: Learn about marketing strategies, and create a social media plan"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day15: Develop a financial plan, including budgeting and fundraising"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day16: Learn about leadership and team building, and create a team organizational structure"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day17: Read about operations management and create a process flowchart
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day18: Learn about risk management and create a contingency plan
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day19: Develop a sales strategy and create a sales script
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day20: Practice your sales pitch with a friend or family member
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day21: Read about business law and ethics, and create a terms and conditions document"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day22: Learn about innovation and design thinking, and brainstorm new ideas"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day23 a minimum viable product (MVP) for your business idea
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day24: Test your MVP with customer discovery interviews
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day25: Refine your business plan based on customer feedback
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,Day26: Create a go-to-market strategy and plan for launch
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day28: Launch your business idea, even if it's just a landing page"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day29: Track your metrics, including website analytics and customer engagement"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Business Acumen,"Day30: Reflect on what you learned, and plan your next steps for business growth"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day1: Read 'The Leadership Challenge' by James M. Kouzes and Posner
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day3: Identify 3 leadership traits you admire in someone
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day5: Write a reflection on a time when you demonstrated leadership
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day7: Engage in a conversation with a leader about their experience
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day10: Watch TED Talks on leadership and take notes
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day12: Read articles on leadership on Harvard Business Review
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day14: Reflect on your values and how they align
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day16: Identify a project to lead and propose it to your manager
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day18: Learn about situational leadership and its application
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day20: Attend a leadership seminar or workshop
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day22: Read 'Drive: The Surprising Truth About What Motivates Us'
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day24: Create a vision board and set goals for your leadership development
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day26: Practice active listening in your daily interactions
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day28: Learn to give and receive constructive feedback
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Leadership,Day30: Celebrate your progress and plan for continued growth
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Time Management,Day 1: Set SMART goals
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Time Management,Day 2: Track your daily activities
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Time Management,Day 3: Identify time-wasting habits
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Time Management,Day 4: Learn the Pomodoro technique
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Time Management,Day 5: Prioritize tasks using Eisenhower Matrix
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Time Management,Day 6: Create a schedule with timeblocking
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Time Management,Day 7: Review and adjust your time management plan
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Change Management,Day1: Learn the definition and importance of Change Management
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Change Management,"Day2: Identify types of organizational changes (Structural, Cultural, Technological)"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Change Management,Day3: Study ADKAR model (Awareness Desire Knowledge Ability Reinforcement) of change management
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Change Management,Day4: Learn about the roles and responsibilities of Change Management team
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Change Management,"Day5: Understand the stages of Change Management process (Initiating, Planning, Executing, Monitoring & Control, Closure)"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Change Management,"Day6: Study Change Management frameworks and methodologies (APMG, PRINCE2, PMP)"
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Change Management,Day8: Learn to identify stakeholders and their roles in Change Management
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Change Management,Day9: Understand the importance of Communication in Change Management
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Change Management,"Day10: Study change management templates and tools (Change Management Plan, Stakeholder Analysis, Communication Plan)"
